	domain	phylum	class	order	family	genus	species
ASV210	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	unclassified_Lachnospiraceae	NA
ASV211	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	unclassified_Lachnospiraceae	NA
ASV212	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	unclassified_Erysipelatoclostridiaceae	NA
ASV213	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	unclassified_Lachnospiraceae	NA
ASV214	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	NA	NA	NA
ASV215	Bacteria	Firmicutes	Clostridia	unclassified_Clostridia	NA	NA	NA
ASV216	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae FCS020 group	NA
ASV217	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA
ASV218	Bacteria	Firmicutes	Bacilli	Lactobacillales	unclassified_Lactobacillales	NA	NA
ASV219	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA
ASV220	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	unclassified_Oscillospiraceae	NA
ASV221	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] xylanophilum group	NA
ASV222	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV223	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	unclassified_Lachnospiraceae	NA
ASV224	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	unclassified_Lachnospiraceae	NA
ASV225	Bacteria	Firmicutes	unclassified_Firmicutes	NA	NA	NA	NA
ASV226	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	NA	NA	NA
ASV227	Bacteria	Firmicutes	Bacilli	RF39	NA	NA	NA
ASV228	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	unclassified_Lachnospiraceae	NA
ASV229	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	NA	NA	NA
ASV230	Bacteria	Firmicutes	Clostridia	unclassified_Clostridia	NA	NA	NA
ASV231	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	unclassified_Atopobiaceae	NA
ASV232	Bacteria	Firmicutes	Bacilli	RF39	NA	NA	NA
